,xf,vf,xb,vb
0.0,0.0,0.0,0.0,0.0
0.20002500312539068,0.0004749766323824865,0.008787358292476887,0.002464288238501154,0.02291603242151805
0.40005000625078135,0.0052898771827603495,0.04126811145554918,0.0083260064300378,0.03425193943685048
0.600075009376172,0.015989378517268935,0.059996875123777195,0.016127226682872708,0.04459960829862594
0.8001000125015627,0.027289558697256223,0.05109941593906182,0.026346163436569675,0.05680536639640236
1.0001250156269534,0.03714065717402374,0.051008973908396704,0.03800246039822733,0.05694993349871662
1.200150018752344,0.048356315686100486,0.059223536962482254,0.048300922224112364,0.04527140208991099
1.4001750218777347,0.058965815744144445,0.041725936857840165,0.05624459079244118,0.03478205342765054
1.6002000250031254,0.0641640585931704,0.011771098584302909,0.06212551951062711,0.022685444475324355
1.8002250281285161,0.06506225360075926,0.000247370693518375,0.06460778926053301,0.0007610025508706015
2.000250031253907,0.064284591249853,-0.010922099128421856,0.0624062125692533,-0.021534184074665307
2.2002750343792976,0.05936073780989553,-0.039847859774434814,0.05664811215988589,-0.03479882876416552
2.400300037504688,0.0490714711243186,-0.05862376158493912,0.0485941451088898,-0.04617171938094482
2.6003250406300786,0.037540075612922594,-0.054799805459190505,0.03811204841992802,-0.05789169538513957
2.8003500437554694,0.02678294312586588,-0.055182820758491305,0.026156074824481478,-0.059280221408699874
3.00037504688086,0.015029396676526127,-0.06080125383773426,0.015150718832528264,-0.0498501403959658
3.200400050006251,0.003939221246297973,-0.04590305022180263,0.006234334588118152,-0.039545986945371044
3.4004250531316416,-0.0025101630381307643,-0.01936203388711496,-0.0005351250238320078,-0.027000474917413638
3.6004500562570323,-0.004770552855006165,-0.005512646974989509,-0.003974455969807988,-0.006203614147549502
3.800475059382423,-0.004767646726220321,0.007628364153899793,-0.0029489750447037714,0.015586313720034516
4.000500062507814,-0.0007203226951592594,0.03405816766156194,0.001754543234848089,0.030386319131407883
4.2005250656332045,0.008317953935808744,0.0528922968910413,0.009057054931106251,0.042778976078031355
4.400550068758595,0.019102827126427035,0.053139661772249706,0.018848020236281703,0.05438430242997613
4.600575071883986,0.02969941726368651,0.054342464833838935,0.030186472427150664,0.056935753529881304
4.800600075009376,0.04109215472793308,0.05826665151677298,0.04093338077571774,0.04950575591414748
5.0006250781347665,0.05181218996382779,0.045465856033555574,0.04985674615908363,0.03965748158556096
5.200650081260157,0.05851585025851347,0.02180901646687387,0.05662085631905484,0.026958521341569033
5.400675084385548,0.06117800849756797,0.006460914975111488,0.06013338516706204,0.007117091451849843
5.600700087510939,0.06115333593535906,-0.008222762237060942,0.05936686360210027,-0.01419477215631776
5.8007250906363295,0.057139199436462805,-0.032868544211758645,0.05484152186426347,-0.030163145786902018
6.00075009376172,0.04840966921010717,-0.05174114826932123,0.047470471489909995,-0.04348394246478796
6.200775096887111,0.03754103189052756,-0.05523197286612232,0.037528928624716254,-0.055187841282518746
6.400800100012502,0.026360941695876158,-0.05741213336594524,0.025949316643388003,-0.058791996714331975
